央视频道,#genre#
CCTV1,http://171.213.162.46:20000/rtp/239.93.0.184:5140
CCTV1,http://171.213.168.2:9999/rtp/239.93.0.184:5140
CCTV1,http://114.226.141.28:4022/rtp/239.49.8.19:9614
CCTV2,http://171.213.162.46:20000/rtp/239.93.1.23:6000
CCTV2,http://171.213.168.2:9999/rtp/239.93.1.23:6000
CCTV2,http://114.226.141.28:4022/rtp/239.49.8.50:9802
CCTV3,http://171.213.162.46:20000/rtp/239.93.1.11:2223
CCTV3,http://171.213.168.2:9999/rtp/239.93.1.11:2223
CCTV3,http://114.226.141.28:4022/rtp/239.49.8.74:8000
CCTV4,http://171.213.162.46:20000/rtp/239.93.1.105:5140
CCTV4,http://171.213.168.2:9999/rtp/239.93.1.105:5140
CCTV4,http://114.226.141.28:4022/rtp/239.49.8.51:9806
CCTV5,http://171.213.162.46:20000/rtp/239.93.1.36:8004
CCTV5,http://171.213.168.2:9999/rtp/239.93.1.36:8004
CCTV5,http://114.226.141.28:4022/rtp/239.49.8.75:8000
CCTV5+,http://114.226.141.28:4022/rtp/239.49.8.18:9610
CCTV6,http://171.213.162.46:20000/rtp/239.93.1.13:2226
CCTV6,http://171.213.168.2:9999/rtp/239.93.1.13:2226
CCTV6,http://114.226.141.28:4022/rtp/239.49.8.76:8000
CCTV7,http://171.213.162.46:20000/rtp/239.93.1.67:5140
CCTV7,http://171.213.168.2:9999/rtp/239.93.1.67:5140
CCTV7,http://114.226.141.28:4022/rtp/239.49.0.126:8000
CCTV8,http://171.213.162.46:20000/rtp/239.93.42.39:5140
CCTV8,http://171.213.168.2:9999/rtp/239.93.42.39:5140
CCTV8,http://114.226.141.28:4022/rtp/239.49.8.77:8000
CCTV9,http://171.213.162.46:20000/rtp/239.93.1.24:5140
CCTV9,http://171.213.168.2:9999/rtp/239.93.1.24:5140
CCTV9,http://114.226.141.28:4022/rtp/239.49.8.53:9814
CCTV10,http://171.213.162.46:20000/rtp/239.93.1.28:5140
CCTV10,http://171.213.168.2:9999/rtp/239.93.1.28:5140
CCTV10,http://114.226.141.28:4022/rtp/239.49.8.54:9818
CCTV11,http://171.213.162.46:20000/rtp/239.93.0.102:5140
CCTV11,http://171.213.168.2:9999/rtp/239.93.0.102:5140
CCTV11,http://114.226.141.28:4022/rtp/239.49.0.127:8000
CCTV12,http://171.213.162.46:20000/rtp/239.93.1.30:8124
CCTV12,http://171.213.168.2:9999/rtp/239.93.1.30:8124
CCTV12,http://114.226.141.28:4022/rtp/239.49.8.55:9822
CCTV13,http://171.213.162.46:20000/rtp/239.93.0.66:5140
CCTV13,http://171.213.168.2:9999/rtp/239.93.0.66:5140
CCTV13,http://114.226.141.28:4022/rtp/239.49.8.109:8000
CCTV14,http://171.213.162.46:20000/rtp/239.93.1.29:6000
CCTV14,http://171.213.168.2:9999/rtp/239.93.1.29:6000
CCTV14,http://114.226.141.28:4022/rtp/239.49.8.56:9826
CCTV15,http://171.213.162.46:20000/rtp/239.93.0.103:5140
CCTV15,http://171.213.168.2:9999/rtp/239.93.0.103:5140
CCTV15,http://114.226.141.28:4022/rtp/239.49.0.128:8000
CCTV16,http://114.226.141.28:4022/rtp/239.49.8.31:8000
CCTV17,http://171.213.162.46:20000/rtp/239.93.0.92:5140
CCTV17,http://171.213.168.2:9999/rtp/239.93.0.92:5140
CCTV17,http://114.226.141.28:4022/rtp/239.49.8.52:9810
兵器科技,http://114.226.141.28:4022/rtp/239.49.8.88:8000
风云音乐,http://114.226.141.28:4022/rtp/239.49.8.92:8000
风云足球,http://114.226.141.28:4022/rtp/239.49.8.85:8000
风云剧场,http://114.226.141.28:4022/rtp/239.49.8.89:8000
怀旧剧场,http://171.213.162.46:20000/rtp/239.93.1.198:5140
怀旧剧场,http://171.213.168.2:9999/rtp/239.93.1.198:5140
怀旧剧场,http://114.226.141.28:4022/rtp/239.49.8.91:8000
第一剧场,http://171.213.162.46:20000/rtp/239.93.1.197:5140
第一剧场,http://171.213.168.2:9999/rtp/239.93.1.197:5140
第一剧场,http://114.226.141.28:4022/rtp/239.49.8.94:8000
女性时尚,http://114.226.141.28:4022/rtp/239.49.8.93:8000
世界地理,http://114.226.141.28:4022/rtp/239.49.8.87:8000
央视台球,http://114.226.141.28:4022/rtp/239.49.8.32:8000
高尔夫网球,http://171.213.162.46:20000/rtp/239.93.1.54:5140
高尔夫网球,http://171.213.168.2:9999/rtp/239.93.1.54:5140
高尔夫网球,http://114.226.141.28:4022/rtp/239.49.8.86:8000
央视文化精品,http://171.213.162.46:20000/rtp/239.93.42.47:5140
央视文化精品,http://171.213.168.2:9999/rtp/239.93.42.47:5140
央视文化精品,http://114.226.141.28:4022/rtp/239.49.8.90:8000
电视指南,http://114.226.141.28:4022/rtp/239.49.8.84:8000

卫视频道,#genre#
湖南卫视,http://171.213.162.46:20000/rtp/239.93.0.88:5140
湖南卫视,http://171.213.168.2:9999/rtp/239.93.0.88:5140
湖南卫视,http://114.226.141.28:4022/rtp/239.49.8.12:9418
浙江卫视,http://171.213.162.46:20000/rtp/239.93.0.124:5140
浙江卫视,http://171.213.168.2:9999/rtp/239.93.0.124:5140
浙江卫视,http://114.226.141.28:4022/rtp/239.49.8.20:9618
江苏卫视,http://171.213.162.46:20000/rtp/239.93.0.89:5140
